Algorithm;Map-Filename;Path-Length;Visited-Cubes;Max-Queue-Size;Runtime;Found-Goal;Memory-Used;Count-Of-Memory-Allocations;Average-Allocation-Size
DFS;512x512_Map_9_Space_16.txt;41991.0;128889.0;40708.0;2.805119949998334;1.0;15342.49716796875;253578.9;61.95596333228891
DFS;512x512_Map_10_Space_1.txt;6895.0;69932.0;429.0;1.7554337599896825;1.0;8002.88564453125;137570.3;59.56927995932684
DFS;512x512_Map_10_Space_2.txt;4759.0;97076.0;2966.0;2.273393660003785;1.0;12578.71865234375;198659.7;64.83762399695885
DFS;512x512_Map_10_Space_4.txt;7441.0;73003.0;6558.0;1.647199130000081;1.0;8005.9517578125;135360.9;60.56480031031181
DFS;512x512_Map_10_Space_8.txt;9953.0;208531.0;9655.0;4.7333132500061765;1.0;26092.198828125;415067.3;64.37129333320078
DFS;512x512_Map_10_Space_16.txt;26613.0;166832.0;26594.0;3.715028209995944;1.0;22695.23017578125;333463.3;69.69261763447645
Dijkstra;512x512_Map_1_Space_1.txt;5171.0;121712.0;136.0;3.3067564200027846;1.0;14406.43037109375;238796.6;61.777197687570414
Dijkstra;512x512_Map_1_Space_2.txt;3855.0;166453.0;145.0;4.365949560026638;1.0;22192.1263671875;323577.4;70.22968060261708
Dijkstra;512x512_Map_1_Space_4.txt;3173.0;143804.0;143.0;3.8882272099843247;1.0;16740.9412109375;297362.1;57.649323251867756
Dijkstra;512x512_Map_1_Space_8.txt;1689.0;182031.0;273.0;5.084217509999871;1.0;23149.690234375;343003.8;69.1108461136558
Dijkstra;512x512_Map_1_Space_16.txt;3145.0;210969.0;231.0;5.8685836000368;1.0;25578.29130859375;398774.2;65.68170742600817
Dijkstra;512x512_Map_2_Space_1.txt;4343.0;102753.0;104.0;2.775122990005184;1.0;12662.187109375;197343.1;65.70323280559727
Dijkstra;512x512_Map_2_Space_2.txt;4271.0;162142.0;142.0;4.24264876000816;1.0;21853.19755859375;315834.7;70.85248830287114
Dijkstra;512x512_Map_2_Space_4.txt;2991.0;170471.0;235.0;4.653713310009334;1.0;22309.87158203125;324464.2;70.40933504162972
Dijkstra;512x512_Map_2_Space_8.txt;3177.0;155757.0;150.0;4.276714050013107;1.0;16440.16513671875;278770.3;60.38924917807803
Dijkstra;512x512_Map_2_Space_16.txt;2217.0;183928.0;252.0;5.164924560009967;1.0;23456.72724609375;351384.1;68.35735797769074
Dijkstra;512x512_Map_3_Space_1.txt;4291.0;122788.0;117.0;3.34597550999606;1.0;14529.491015625;242080.2;61.45979237884834
Dijkstra;512x512_Map_3_Space_2.txt;3855.0;149857.0;145.0;3.9475608000182545;1.0;16715.081640625;291809.0;58.65563983491851
Dijkstra;512x512_Map_3_Space_4.txt;4257.0;195380.0;199.0;5.324174030020368;1.0;24874.25908203125;387606.0;65.71425964495866
Dijkstra;512x512_Map_3_Space_8.txt;3291.0;205430.0;177.0;5.678971000004094;1.0;25302.55751953125;393973.0;65.76546848624771
Dijkstra;512x512_Map_3_Space_16.txt;1971.0;192601.0;241.0;5.392311540001538;1.0;23982.96787109375;361790.6;67.88058927465252
Dijkstra;512x512_Map_4_Space_1.txt;4987.0;102208.0;116.0;2.7798438800266014;1.0;12560.54423828125;194333.4;66.1852125400875
Dijkstra;512x512_Map_4_Space_2.txt;3563.0;150641.0;172.0;3.943613339983858;1.0;16762.040625;292838.1;58.613717311684184
Dijkstra;512x512_Map_4_Space_4.txt;3763.0;197059.0;217.0;5.393945690011606;1.0;24873.9421875;386397.6;65.91893130573511
Dijkstra;512x512_Map_4_Space_8.txt;2919.0;221888.0;252.0;6.174955020018388;1.0;26820.91171875;430348.7;63.81944132067959
